Sno	Trial	Variance	Anisotropy	Chem	Time	fraction	Regime
1	H	0	1	Tracer	205.0	1.0	Slow
2	37	0.1	2	Tracer	205.0	1.0	Slow
3	38	0.1	5	Tracer	205.0	1.0	Slow
4	39	0.1	10	Tracer	202.5	0.9878048780487805	Slow
5	40	1	2	Tracer	167.5	0.8170731707317073	Slow
6	41	1	5	Tracer	182.5	0.8902439024390244	Slow
7	42	1	10	Tracer	210.0	1.024390243902439	Slow
8	43	10	2	Tracer	200.0	0.975609756097561	Slow
9	44	10	5	Tracer	175.0	0.8536585365853658	Slow
10	45	10	10	Tracer	157.5	0.7682926829268293	Slow
11	46	0.1	2	Tracer	207.5	1.0121951219512195	Slow
12	47	0.1	5	Tracer	205.0	1.0	Slow
13	48	0.1	10	Tracer	205.0	1.0	Slow
14	49	1	2	Tracer	172.5	0.8414634146341463	Slow
15	50	1	5	Tracer	200.0	0.975609756097561	Slow
16	51	1	10	Tracer	197.5	0.9634146341463414	Slow
17	52	10	2	Tracer	187.5	0.9146341463414634	Slow
18	53	10	5	Tracer	147.5	0.7195121951219512	Slow
19	54	10	10	Tracer	180.0	0.8780487804878049	Slow
20	55	0.1	2	Tracer	205.0	1.0	Slow
21	56	0.1	5	Tracer	205.0	1.0	Slow
22	57	0.1	10	Tracer	207.5	1.0121951219512195	Slow
23	58	1	2	Tracer	202.5	0.9878048780487805	Slow
24	59	1	5	Tracer	172.5	0.8414634146341463	Slow
25	60	1	10	Tracer	195.0	0.9512195121951219	Slow
26	61	10	2	Tracer	125.0	0.6097560975609756	Slow
27	62	10	5	Tracer	157.5	0.7682926829268293	Slow
28	63	10	10	Tracer	160.0	0.7804878048780488	Slow
29	64	0.1	2	Tracer	205.0	1.0	Slow
30	65	0.1	5	Tracer	205.0	1.0	Slow
31	66	0.1	10	Tracer	205.0	1.0	Slow
32	67	1	2	Tracer	202.5	0.9878048780487805	Slow
33	68	1	5	Tracer	205.0	1.0	Slow
34	69	1	10	Tracer	185.0	0.9024390243902439	Slow
35	70	5	2	Tracer	192.5	0.9390243902439024	Slow
36	71	5	5	Tracer	200.0	0.975609756097561	Slow
37	72	5	10	Tracer	170.0	0.8292682926829268	Slow
38	73	10	2	Tracer	200.0	0.975609756097561	Slow
39	74	10	5	Tracer	127.5	0.6219512195121951	Slow
40	75	10	10	Tracer	125.0	0.6097560975609756	Slow
41	76	5	2	Tracer	187.5	0.9146341463414634	Slow
42	77	5	5	Tracer	187.5	0.9146341463414634	Slow
43	78	5	10	Tracer	182.5	0.8902439024390244	Slow
44	79	5	2	Tracer	200.0	0.975609756097561	Slow
45	80	5	5	Tracer	155.0	0.7560975609756098	Slow
46	81	5	10	Tracer	150.0	0.7317073170731707	Slow
47	82	5	2	Tracer	185.0	0.9024390243902439	Slow
48	83	5	5	Tracer	195.0	0.9512195121951219	Slow
49	84	5	10	Tracer	177.5	0.8658536585365854	Slow
50	H	0	1	Tracer	23.830000000000002	1.0	Equal
51	37	0.1	2	Tracer	23.66	0.9928661351237935	Equal
52	38	0.1	5	Tracer	23.22	0.9744020142677297	Equal
53	39	0.1	10	Tracer	23.17	0.9723038187159043	Equal
54	40	1	2	Tracer	14.55	0.6105749055812002	Equal
55	41	1	5	Tracer	17.41	0.7305916911456147	Equal
56	42	1	10	Tracer	22.25	0.9336970205623163	Equal
57	43	10	2	Tracer	19.16	0.8040285354595048	Equal
58	44	10	5	Tracer	15.83	0.6642887117079311	Equal
59	45	10	10	Tracer	5.16	0.21653378094838438	Equal
60	46	0.1	2	Tracer	23.91	1.0033571128829206	Equal
61	47	0.1	5	Tracer	23.72	0.995383969785984	Equal
62	48	0.1	10	Tracer	23.66	0.9928661351237935	Equal
63	49	1	2	Tracer	15.22	0.6386907259756609	Equal
64	50	1	5	Tracer	22.66	0.9509022240872849	Equal
65	51	1	10	Tracer	20.18	0.8468317247167435	Equal
66	52	10	2	Tracer	18.34	0.7696181284095677	Equal
67	53	10	5	Tracer	10.34	0.4339068401174989	Equal
